Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2022-03-23,9.71,9.45,9.71,9.44,0.56K,-0.92,bank,BH
2022-03-22,9.8,9.8,9.8,9.8,0.26K,-0.91,bank,BH
2022-03-21,9.89,9.79,9.89,9.79,0.90K,1.02,bank,BH
2022-03-18,9.79,9.75,9.8,9.75,5.43K,0.41,bank,BH
2022-03-17,9.75,9.74,9.75,9.74,0.89K,0.1,bank,BH
2022-03-16,9.74,9.69,9.75,9.69,2.01K,0.52,bank,BH
2022-03-15,9.69,9.45,9.69,9.45,2.36K,-0.62,bank,BH
2022-03-14,9.75,9.65,9.75,9.65,2.00K,0.0,bank,BH
2022-03-11,9.75,9.5,9.75,9.5,1.53K,2.63,bank,BH
2022-03-10,9.5,9.31,9.5,8.9,1.33K,0.96,bank,BH
2022-03-09,9.41,9.41,9.41,9.41,0.36K,-1.98,bank,BH
2022-03-08,9.6,9.46,9.7,9.46,4.25K,1.59,bank,BH
2022-03-07,9.45,9.3,9.45,9.3,6.03K,2.83,bank,BH
2022-03-04,9.19,9.38,9.47,9.19,4.13K,-2.23,bank,BH
2022-03-03,9.4,9.4,9.4,9.38,2.00K,1.62,bank,BH
2022-03-02,9.25,9.2,9.29,9.17,0.97K,0.87,bank,BH
2022-03-01,9.17,9.0,9.17,8.82,2.64K,2.0,bank,BH
2022-02-28,8.99,8.78,8.99,8.78,2.82K,3.93,bank,BH
2022-02-25,8.65,8.65,8.65,8.65,210.71K,0.58,bank,BH
2022-02-24,8.6,8.75,8.75,8.6,0.05K,-0.12,bank,BH
2022-02-23,8.61,8.59,8.62,8.59,5.65K,0.12,bank,BH
2022-02-22,8.6,8.59,8.6,8.59,0.02K,-0.12,bank,BH
2022-02-21,8.61,8.6,8.61,8.43,4.93K,0.0,bank,BH
2022-02-18,8.61,8.41,8.61,8.41,1.12K,1.18,bank,BH
2022-02-17,8.51,8.75,8.75,8.42,4.03K,-4.6,bank,BH
2022-02-16,8.92,9.0,9.0,8.92,0.78K,-0.89,bank,BH
2022-02-15,9.0,9.05,9.05,9.0,0.13K,-1.1,bank,BH
2022-02-14,9.1,9.1,9.1,9.1,0.39K,0.0,bank,BH
2022-02-11,9.1,9.1,9.1,9.1,0.11K,-0.22,bank,BH
2022-02-10,9.12,9.13,9.13,9.12,0.21K,-3.39,bank,BH
2022-02-09,9.44,9.44,9.44,9.3,0.16K,0.0,bank,BH
2022-02-08,9.44,9.44,9.44,9.44,0.01K,4.31,bank,BH
2022-02-07,9.05,9.05,9.05,9.05,0.15K,-4.23,bank,BH
2022-02-04,9.45,9.45,9.45,9.45,0.01K,-0.42,bank,BH
2022-02-03,9.49,9.49,9.49,9.49,0.03K,0.96,bank,BH
2022-02-02,9.4,9.41,9.41,9.4,0.01K,-1.16,bank,BH
2022-02-01,9.51,9.15,9.51,9.15,0.60K,3.82,bank,BH
2022-01-31,9.16,9.16,9.16,9.16,0.77K,0.11,bank,BH
2022-01-28,9.15,9.2,9.2,9.15,1.02K,-0.54,bank,BH
2022-01-27,9.2,9.22,9.22,9.2,0.15K,-0.22,bank,BH
2022-01-26,9.22,9.23,9.23,9.22,0.03K,-1.81,bank,BH
2022-01-25,9.39,9.39,9.39,9.39,0.01K,-0.11,bank,BH
2022-01-24,9.4,9.4,9.4,9.4,0.35K,0.0,bank,BH
2022-01-22,9.4,9.4,9.4,9.4,0.05K,1.95,bank,BH
2022-01-21,9.22,9.22,9.22,9.22,0.00K,0.0,bank,BH
2022-01-20,9.22,9.22,9.22,9.22,0.00K,-2.95,bank,BH
2022-01-19,9.5,9.51,9.51,9.5,0.14K,-2.06,bank,BH
2022-01-18,9.7,9.69,9.7,9.69,0.15K,0.0,bank,BH
2022-01-17,9.7,9.7,9.7,9.7,0.00K,2.0,bank,BH
2022-01-14,9.51,9.52,9.52,9.51,0.35K,-0.11,bank,BH
2022-01-13,9.52,9.77,9.77,9.52,0.08K,0.0,bank,BH
2022-01-12,9.52,9.52,9.52,9.52,0.08K,0.0,bank,BH
2022-01-11,9.52,9.52,9.52,9.52,0.14K,0.0,bank,BH
2022-01-10,9.52,9.52,9.52,9.52,0.08K,-2.86,bank,BH
2022-01-07,9.8,9.7,9.8,9.7,0.40K,0.31,bank,BH
2022-01-06,9.77,9.77,9.77,9.77,0.13K,-0.31,bank,BH
2022-01-05,9.8,9.89,9.9,9.61,0.95K,0.0,bank,BH
2022-01-04,9.8,9.75,9.8,9.5,1.26K,0.0,bank,BH
2022-01-03,9.8,9.8,9.8,9.8,0.31K,-1.11,bank,BH
2021-12-31,9.91,9.96,9.96,9.9,3.88K,-0.5,bank,BH
2021-12-30,9.96,10.0,10.0,9.96,5.38K,-0.9,bank,BH
2021-12-29,10.05,10.05,10.05,10.05,0.51K,-1.47,bank,BH
2021-12-28,10.2,10.2,10.3,10.19,17.75K,1.9,bank,BH
2021-12-27,10.01,10.01,10.01,10.01,0.00K,-2.25,bank,BH
2021-12-24,10.24,9.9,10.24,9.9,0.56K,0.39,bank,BH
2021-12-23,10.2,10.29,10.3,10.2,2.60K,-0.87,bank,BH
2021-12-22,10.29,10.33,10.34,10.29,1.93K,0.1,bank,BH
2021-12-21,10.28,9.91,10.28,9.91,0.92K,-0.1,bank,BH
2021-12-20,10.29,10.3,10.3,10.29,4.93K,0.59,bank,BH
2021-12-16,10.23,10.21,10.23,10.21,1.77K,0.0,bank,BH
2021-12-15,10.23,10.23,10.23,10.23,0.10K,0.0,bank,BH
2021-12-14,10.23,10.23,10.23,10.23,0.35K,0.0,bank,BH
2021-12-13,10.23,10.23,10.24,10.23,1.88K,-0.2,bank,BH
2021-12-10,10.25,10.27,10.27,10.25,1.48K,0.49,bank,BH
2021-12-09,10.2,10.2,10.2,10.2,5.60K,-0.78,bank,BH
2021-12-08,10.28,10.27,10.28,10.27,0.24K,0.0,bank,BH
2021-12-07,10.28,9.9,10.28,9.9,1.24K,-0.19,bank,BH
